Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2270","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2273","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","57.62","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","57.31","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2018","2018","Kcal/personne/jour","189","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","187","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","10.69","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","10.34","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2900","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2898","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","79.95","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","79.77","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2018","2018","Kcal/personne/jour","468","Fc","Donnée calculée"
