Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5511","Production","2734","Viande de Volailles","2018","2018","Milliers de tonnes","29","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","28","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5611","Importations - Quantité","2734","Viande de Volailles","2018","2018","Milliers de tonnes","25","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5611","Importations - Quantité","2734","Viande de Volailles","2019","2019","Milliers de tonnes","44","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5911","Exportations - Quantité","2734","Viande de Volailles","2018","2018","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2734","Viande de Volailles","2018","2018","kg","1.44","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2734","Viande de Volailles","2019","2019","kg","1.76","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2018","2018","g/personne/jour","0.51","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2019","2019","g/personne/jour","0.63","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5511","Production","2734","Viande de Volailles","2018","2018","Milliers de tonnes","1762","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","1816","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5611","Importations - Quantité","2734","Viande de Volailles","2018","2018","Milliers de tonnes","515","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5611","Importations - Quantité","2734","Viande de Volailles","2019","2019","Milliers de tonnes","488","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5911","Exportations - Quantité","2734","Viande de Volailles","2018","2018","Milliers de tonnes","48","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5911","Exportations - Quantité","2734","Viande de Volailles","2019","2019","Milliers de tonnes","48","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2734","Viande de Volailles","2018","2018","kg","37.31","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2734","Viande de Volailles","2019","2019","kg","37.32","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2018","2018","g/personne/jour","14.75","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2019","2019","g/personne/jour","14.75","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5511","Production","2734","Viande de Volailles","2018","2018","Milliers de tonnes","16","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","12","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5611","Importations - Quantité","2734","Viande de Volailles","2018","2018","Milliers de tonnes","12","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5611","Importations - Quantité","2734","Viande de Volailles","2019","2019","Milliers de tonnes","22","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5911","Exportations - Quantité","2734","Viande de Volailles","2019","2019","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","645","Disponibilité alimentaire en quantité (kg/personne/an)","2734","Viande de Volailles","2018","2018","kg","9.48","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","645","Disponibilité alimentaire en quantité (kg/personne/an)","2734","Viande de Volailles","2019","2019","kg","11.71","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2018","2018","g/personne/jour","3.52","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2019","2019","g/personne/jour","4.54","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5511","Production","2734","Viande de Volailles","2018","2018","Milliers de tonnes","286","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","291","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5611","Importations - Quantité","2734","Viande de Volailles","2018","2018","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5611","Importations - Quantité","2734","Viande de Volailles","2019","2019","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5911","Exportations - Quantité","2734","Viande de Volailles","2018","2018","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5911","Exportations - Quantité","2734","Viande de Volailles","2019","2019","Milliers de tonnes","1","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","645","Disponibilité alimentaire en quantité (kg/personne/an)","2734","Viande de Volailles","2018","2018","kg","6.76","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","645","Disponibilité alimentaire en quantité (kg/personne/an)","2734","Viande de Volailles","2019","2019","kg","6.67","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2018","2018","g/personne/jour","2.08","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2019","2019","g/personne/jour","2.06","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5511","Production","2734","Viande de Volailles","2018","2018","Milliers de tonnes","1571","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","1544","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5611","Importations - Quantité","2734","Viande de Volailles","2018","2018","Milliers de tonnes","871","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5611","Importations - Quantité","2734","Viande de Volailles","2019","2019","Milliers de tonnes","831","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5911","Exportations - Quantité","2734","Viande de Volailles","2018","2018","Milliers de tonnes","640","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5911","Exportations - Quantité","2734","Viande de Volailles","2019","2019","Milliers de tonnes","644","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","645","Disponibilité alimentaire en quantité (kg/personne/an)","2734","Viande de Volailles","2018","2018","kg","18.15","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","645","Disponibilité alimentaire en quantité (kg/personne/an)","2734","Viande de Volailles","2019","2019","kg","18.01","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2018","2018","g/personne/jour","7.43","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2019","2019","g/personne/jour","7.37","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5511","Production","2734","Viande de Volailles","2018","2018","Milliers de tonnes","41","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","49","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5611","Importations - Quantité","2734","Viande de Volailles","2018","2018","Milliers de tonnes","335","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5611","Importations - Quantité","2734","Viande de Volailles","2019","2019","Milliers de tonnes","278","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5911","Exportations - Quantité","2734","Viande de Volailles","2018","2018","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
